cluster_id,family_tokens,districts,n_members,n_winners,total_wins,span,members,member_ids
F0837,husnain,okara,2,0,0,2013-2024,"Syed Gulzar Husnain (0W/1C, IND); Syed Ali Husnain Shah (0W/1C, PTI)",P06639|P13376
F0838,khaliq,okara,2,0,0,2013-2024,"Rao Abdul Khaliq Khan (0W/1C, IND); Rana Abdul Khaliq (0W/1C, IND)",P06662|P13361
F0840,khokhar,multan,2,0,0,2013-2018,"Malik Shabbir Ahmad Khokhar (0W/1C, IND); Imran Mustafa Khokhar (0W/1C, Pakistan Sunni Tehreek)",P06687|P10625
F0841,khursheed,multan,2,0,0,2013-2013,"Khursheed Abbas (0W/1C, MQM); Sumera Khursheed (0W/1C, IND)",P06724|P06761
F0842,dehar|asim|nazar,multan,5,0,0,2013-2024,"Asif Nazar (0W/1C, IND); MALIK NOOR HUSSAIN DEHAR (0W/1C, IND); Amjad Hussain Urf Muhammad Asim Dehar (0W/1C, IND); Muhammad Ahmed Asim Dehar (0W/1C, IND); Malik Asif Nazar Dehar (0W/1C, IND)",P06740|P06743|P06747|P10613|P13488
F0843,mushtaq|laang,multan,4,0,0,2013-2024,"Mushtaq Maseeh (0W/1C, IND); Naghma Mushtaq (0W/1C, IND); Naghma Mushtaq Laang (0W/1C, IND); Riaz Hussain Laang (0W/1C, IND)",P06744|P10645|P13532|P13540
F0844,joyia,multan,2,0,0,2013-2024,"Malik Shakeel Ahmed Joyia (0W/1C, IND); Muhammad Rehan Joyia (0W/1C, IND)",P06745|P13514
F0845,deen,multan,2,0,0,2013-2018,"Deen Muhammad (0W/1C, IND); CHUDHARY MUHAMMAD DEEN (0W/1C, IND)",P06754|P10639
F0846,bukhari,lodhran,2,0,0,2013-2024,"Syed Muhammad Rafi Ud Din Bukhari (0W/1C, PMLN); Syed Ali Muhammad Shah Bukhari (0W/1C, IND)",P06766|P13555
F0847,humayun,attock|khanewal,2,0,0,2013-2024,"Hamza Humayun Khan (0W/1C, IND); Hamayun Khan (0W/4C, IND)",P06804|P13483
F0848,quraishi,khanewal,2,0,0,2013-2013,"Peer Haider Zaman Quraishi (0W/1C, PPP); Peer Zahoor Hussain Quraishi (0W/1C, PTI)",P06807|P06808
F0849,arain,khanewal,2,0,0,2013-2013,"Muhammad Nasrullah Arain (0W/1C, AML); Haji Asghar Ali Arain (0W/1C, IND)",P06821|P06824
F0850,zaki,sahiwal,2,0,0,2013-2024,"Muhammad Zaki Chaudhary (0W/2C, PPP); Sohaib Zaki (0W/1C, IND)",P06835|P06843
F0851,kamyana,sahiwal,2,0,0,2013-2018,"Mian Ashiq Hussain Kamyana Advocate (0W/1C, Awami Workers Party); KHALID SADDIQUE KAMYANA (0W/1C, TLP)",P06859|P10568
F0852,gujjar,sahiwal,2,0,0,2013-2024,"Faiz Miran Gujjar (0W/1C, JI); Choudhary Waseem Ahmad Gujjar Advocate (0W/1C, IND)",P06869|P13444
F0853,cheema,sahiwal,2,0,0,2013-2013,"Aftab Irshad Cheema (0W/1C, PTI); Sajjad Ahmad Cheema (0W/1C, IND)",P06870|P06871
F0854,bodla,pakpattan,2,0,0,2013-2024,"Mian Tariq Ali Bodla (0W/1C, MQM); Mian Humayun Sarwar Bodla (0W/1C, PPP)",P06887|P13401
F0855,jutt,pakpattan,2,0,0,2013-2013,"Asghar Ali Jutt (0W/1C, IND); Muhammad Iqbal Jutt (0W/1C, JUIS)",P06890|P06893
F0856,tul,pakpattan,2,0,0,2013-2024,"Saima Kashifa Tul Fardoos (0W/1C, IND); saima kashifat ul firdous (0W/2C, IND)",P06897|P10567
F0857,shagufta,vehari,2,0,0,2013-2018,"Shagufta Chaudhry (0W/1C, IND); Mohtarma Shagufta Chaudhary (0W/1C, IND)",P06913|P10669
F0858,qureshi,vehari,2,0,0,2013-2013,"Mian Anwar Hussain Qureshi (0W/1C, IND); Sadia Naveed Qureshi (0W/1C, IND)",P06918|P06940
F0859,khaliq,bahawalnagar|faisalabad|mandi bahauddin|vehari,2,0,0,2013-2024,"Abdul Khaliq (0W/4C, AAT|IND|JUIF|PMML); Abdul Khaliq Kalal (0W/1C, IND)",P06929|P06936
F0860,jutt,vehari,2,0,0,2013-2013,"Mohtrma Abida Nazeer Jutt (0W/1C, IND); Ch Ghulam Mustafa Jutt (0W/1C, IND)",P06935|P06943
