pid,existing,hist_name,hist_years,hist_dists,exist_years,exist_dists,evidence
P01327,Ijaz Ahmad Ch.,Ijaz Ahmad Chaudhary,1990,lahore,1993|2002|2008|2013,lahore|m b din|mandi bahauddin,sq+dL17
P01349,Mirza Zahid Hussain,Mirza Zahid Hussain,1990,lahore,1993,lahore,sq+dL17
P01341,Mehar Zulfiqar Ali Babu,Mehar Zulfiqar Ali Babu,1990,lahore,1993,lahore,sq+dL20
P00239,Ghulam Rasool,Mian Ghulam Rasool,1990,sheikhupura,1993|2002|2013|2018|2024,bahawalnagar|faisalabad|jhang|sheikhupura,di+d
P00043,Rai Bashir Ahmad Khan Bhatti,Rai Bashir Ahmad Khan Bhatti,1990,sheikhupura,1993|1997|2002,sheikhupura,sq+dL24
P02962,Allama Syed Shabbir Ahmed Hashmi,Allama Syed Shabbir Ahmad Hashmi,1990,kasur,2002,kasur,sq+d di22 GAP12
P02578,Ch. M. Boota,Chaudhary Muhammad Boota,1990,okara,1997|2024,gujranwala|sialkot,sqL21
P00089,Syed Ahmad Hassan Shah,Syed Ahmad Hassan Shah,1990,okara,1993,okara,sq+dL19
P04627,Syed Abbas Raza Rizvi,Syed Abbas Raza Rizvi,1990,okara,2008|2018|2024,okara,sq+d di18 GAP18
P00114,Tanveer-Ul-Hassan Gilani,Syed Tanveer ul Hassan Gillani,1990,multan,1993|1997|2002|2018,multan,sq+dL25
P00124,Syed Javed Ali Shah,Syed Javed Ali Shah,1990,multan,1993|1997|2002|2008|2013|2018|2024,khairpur|multan,sq+dL16
P00148,Syed Nadeem Hussain,Syed Nadeem Hussain,1990,sahiwal,1993,sahiwal,sq+dL17
P01472,Rana M. Hanif Khan,Rana Muhammad Hanif Khan,1990,sahiwal,1997,sahiwal,di+d
P01497,Haji Zafar Ali,Zafar Ali,1990,vehari,1997|2013|2018,vehari,sq+dL8
P00184,Sardar Muhammad Amjad Farooq Khan Khosa,Sardar Muhammad Amjad Farooq Khan,1990,dg khan,1993|1997|2002|2008|2013|2018|2024,dg khan|taunsa,di+d
P00210,Abdullah Salfi,Abdullah Salfi,1990,muzaffargarh,1993,muzaffargarh,sq+dL13
P00237,Mian Mumtaz Ahmad,Mian Mumtaz Ahmad,1990,bahawalnagar,1993|2018,bahawalnagar,sq+dL15
P00241,Ali Akbar Mazhar Wains,Ali Akbar Mazhar Wains,1990,bahawalnagar,1993|1997,bahawalnagar,sq+dL19
P01558,Ehsan Bari Mian Dr. Sahib (Retired),Doctor Mian Ehsan Bari ( Retired),1990,bahawalnagar,1997,bahawalnagar|rahimyar khan,di+d
P03248,Syed Khursheed Ahmed Shah,Syed Khursheed Ahmad Shah,1990,sukkur,2002|2008|2013|2018|2024,old sukkur|sukkur,sq+d di22 GAP12
P00421,Amanullah,Amanullah,1990,sukkur,1993|1997|2018|2024,gujranwala|hyderabad|naushahro feroze|sargodha cum khushab|sukkur|sukkur cum ghotki,sq+dL9
P01594,Ali Nawaz Shah,Ali Nawaz Shah,1990,sukkur,1997|2008|2018|2024,mirpur khas|mirpurkhas|old mirpurkhas|sukkur,sq+dL12
P10971,KHURSHID AFGHAN,Miss Khurshid Afghan,1990,sukkur,2018,sukkur,sq+d+rare di14 GAP28
P00284,Jam Saifullah Khan Dharejo,Jam Saifullah Khan Dharejo,1990,sukkur,1993|1997|2002|2008,ghotki|old sukkur|sukkur cum ghotki,sqL23
P00293,Jam Mumtaz Hussain,Jam Mumtaz Hussain,1990,sukkur,1993,ghotki,sqL16
P01612,Junaid Ahmad Soomro,Junaid Ahmad Soomro,1990,shikarpur,1997|2008,old shikarpur|shikarpur,sq+dL17
P03338,Mir Hazar Khan Bijarani,Mir Hazar Khan Bijarani,1990,jacobabad,2002|2008,jacobabad,sq+d di20 GAP12
P00000,Syed Zafar Ali Shah,Zafar Ali Shah,1990,naushero feroz,1993|1997|2002|2008|2013|2018|2024,dadu|islamabad|naushero feroz|naushero feroze|nawabshah|peshawar|rawalpindi,sq+dL12
P01644,Ghulam Murtaza Khan Jatoi,Ghulam Murtaza Khan Jatoi,1990,nawabshah,1997|2008|2013|2018|2024,naushahro feroze|naushero feroz|naushero feroze,sqL22
P00330,Asif Ali Zardari,Asif Ali Zardari,1990,karachi south|nawabshah,1993|2018|2024,naushero feroz|nawabshah|shaheed benazirabad,sq+dL14
P03377,Syed Irshad Hussain Shah,Syed Irshad Hussain Shah,1990,nawabshah,2002|2013,nawabshah|old hyderabad,sq+d di21 GAP12
P00390,Rahim Bakhsh Wassan,Rahim Bux Wassan,1990,khairpur,1993,khairpur,sq+dL17
P00417,Dr. Khalid Mehmood Soomro,Doctor Khalid Mehmood Soomro,1990,larkana,1993|1997|2002,larkana,sq+dL19
P01708,Syed Shahabuddin Shah,Syed Shahab Ud Din Shah,1990,hyderabad,1997|2002,hyderabad,sq+dL19
P01724,Dr. Khalid Maqbool Siddiqi,Dr. Khalid Maqbool Siddiqui,1990,hyderabad,1997|2013|2018|2024,hyderabad|karachi central|old hyderabad,sq+dL21
P03445,Syed Naveed Qamar,Syed Naveed Qamar,1990,hyderabad,2002|2008|2013|2018|2024,hyderabad|old hyderabad|tando muhammad khan,sq+d di15 GAP12
P00472,Dr. Zulfiqar Ali Mirza,Zulfiqar Ali Mirza,1990,hyderabad,1993|2008|2024,badin|old badin,sqL16
P00456,Abdul Sattar Bachani,Abdul Sattar Bachani,1990,hyderabad,1993|1997|2013|2018|2024,hyderabad|old hyderabad|tando allahyar,sq+dL18
P00439,Zafar Ali Rajput,Zafar Ali Rajput,1990,hyderabad,1993,hyderabad,sq+dL14
P01759,Ghulam Ali Nizamani,Ghulam Ali Nizamani,1990,badin,1997|2002|2008|2013,badin|old badin,sq+dL17
P01794,Pir Aftab Hussain Shah,Pir Aftab Hussain Shah,1990,tharparkar,1997,tharparkar,sq+dL19
P00503,Arbab Ghulam Rahim,Arbab Ghulam Rahim,1990,tharparkar,1993|1997|2002|2008|2013|2018|2024,mirpurkhas|thar|tharparkar|umerkot,sq+dL16
P00511,Javed,Javed,1990,dadu,1993,dadu,sq+dL5
P01804,Syed Abdullah Shah,Syed Abdullah Shah,1990,dadu,1997|2013,dadu|muzaffargarh,sq+dL16
P00521,Dr. Manzoor Hussain Leghari,Doctor Manzoor Hussain Leghari,1990,dadu,1993|1997,dadu,sq+dL21
P00527,Rafiq Ahmad Mahessar,Rafiq Ahmad Mahessar,1990,dadu,1993|1997|2002,dadu,sq+dL18
P00559,Altaf Hussain Rind,Altaf Hussain Rind,1990,sanghar,1993,sanghar,sq+dL16
P00543,Jam Mashooq Ali,Jam Mashooq Ali,1990,sanghar,1993|1997|2008,sanghar,sq+dL13
