year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1985,NA-84,Lahore,Punjab,Liaqat Baloch,Independent,26258,32.8,,,12.3,8
1985,NA-85,Lahore,Punjab,Mian Muhammad Asif,Independent,21415,32.8,,,9.0,5
1985,NA-86,Lahore,Punjab,Mian Muhammad Nawaz Sharif,Independent,35719,63.7,,,31.8,9
1985,NA-87,Lahore,Punjab,Hafiz Salman Butt,Independent,18895,42.2,,,7.9,10
1985,NA-88,Lahore,Punjab,Haji Muhammad Asghar,Independent,28210,24.5,,,0.1,10
1985,NA-89,Kasur,Punjab,Sardar Aseff Ahmad Ali,Independent,41930,40.3,,,13.2,5
1985,NA-90,Kasur,Punjab,Rao Muhammad Khizar Hayat,Independent,35430,44.8,,,20.6,5
1985,NA-91,Kasur,Punjab,Sardar Abdul Hameed,Independent,52880,50.3,,,7.9,5
1985,NA-92,Kasur,Punjab,Maulana Moeenuddin Lakhvi,Independent,33615,32.4,,,8.1,7
1985,NA-93,Sheikhupura,Punjab,Rana Tanveer Hussain,Independent,43337,39.3,,,7.5,4
1985,NA-94,Sheikhupura,Punjab,Mian Abdul Raouf,Independent,52871,52.1,,,8.1,5
1985,NA-95,Sheikhupura,Punjab,Mian Shamim Haider,Independent,55625,52.6,,,7.9,3
1985,NA-96,Sheikhupura,Punjab,Malik Sarfraz Ahmad,Independent,36612,34.1,,,10.6,6
1985,NA-97,Sheikhupura,Punjab,Rai Mansab Ali Khan,Independent,52923,57.0,,,14.1,2
1985,NA-98,Gujranwala,Punjab,Hamid Nasir Chattha,Independent,80834,64.2,,,32.6,3
1985,NA-99,Gujranwala,Punjab,Brigadier (R) Iftikhar e Bashir,Independent,41690,32.2,,,6.4,4
1985,NA-100,Gujranwala,Punjab,Sheikh Muhammad Mansoor,Independent,64069,60.9,,,23.1,6
1985,NA-101,Gujranwala,Punjab,Brigadier (R) Chaudhary Muhammad   Asghar,Independent,46593,44.3,,,2.0,7
1985,NA-102,Gujranwala,Punjab,Rana Nazir Ahmad Khan,Independent,57000,54.4,,,8.8,2
1985,NA-103,Gujranwala,Punjab,Chaudahry Ejaz Ahmad,Independent,69215,61.8,,,23.7,2
1985,NA-104,Sialkot I,Punjab,Khawaja Muhammad Safdar,Independent,41987,46.7,,,5.4,6
1985,NA-105,Sialkot,Punjab,Chaudhary Ameer Hussain,Independent,23415,20.2,,,0.5,7
1985,NA-106,Sialkot,Punjab,Muhammad Akram Khan,Independent,43971,38.2,,,11.5,9
1985,NA-107,Sialkot,Punjab,Sahibzada Muhammad Ahmad,Independent,55626,54.5,,,10.8,3
1985,NA-108,Sialkot,Punjab,Chaudhary Muhammad Sarwar Khan,Independent,56368,53.5,,,10.1,3
1985,NA-109,Sialkot,Punjab,Chaudhary Shafaat Ahmad Khan,Independent,43240,44.7,,,8.1,7
1985,NA-110,Sialkot,Punjab,Anwar Aziz Chaudhary,Independent,58538,59.3,,,31.5,4
1985,NA-111,Multan,Punjab,Syed Fakhar Imam Shah,Independent,61410,53.9,,,7.7,2
1985,NA-112,Multan,Punjab,Pir   Qamar uz Zaman Shah Khagga,Independent,47717,48.8,,,0.2,4
1985,NA-113,Multan,Punjab,Pir Muhammad Sanaullah Bodla,Independent,60874,53.6,,,10.1,4
1985,NA-114,Multan,Punjab,Javed Qureshi Hashmi,Independent,46947,44.4,,,1.1,4
1985,NA-115,Multan,Punjab,Makhdom Syed Hamid Raza Gillani,Independent,55091,56.7,,,21.2,5
1985,NA-116,Multan,Punjab,Babo Feroz Din Ansari,Independent,30565,38.8,,,1.9,7
1985,NA-117,Multan,Punjab,Shaikh Muhammad Rasheed,Independent,37024,43.8,,,1.6,5
1985,NA-118,Multan,Punjab,Muhammad Siddique Khan Kanjo,Independent,65813,56.2,,,24.8,3
1985,NA-119,Multan,Punjab,Makhdoom Syed Yousif Raza Gillani,Independent,47904,43.6,,,8.6,3
1985,NA-120,Multan,Punjab,Rana Shaukat Hayat Noon,Independent,62081,50.8,,,7.4,5
1985,NA-121,Vehari,Punjab,Muhammad Nawaz Khan alias Dilawar Khan   Khichi,Independent,74111,57.6,,,15.1,2
1985,NA-122,Vehari,Punjab,Mian Riaz Ahmad Khan Daultana,Independent,62973,56.4,,,17.5,3
1985,NA-123,Vehari,Punjab,Syed Shahid Mehdi Naseem Shah,Independent,68269,55.3,,,15.0,3
1985,NA-124,Dera Ghazi Khan,Punjab,Khawja Ghulam Moin Uddin,Independent,60251,73.4,,,47.9,3
1985,NA-125,Dera Ghazi Khan,Punjab,Sardar Maqsood Ahmad Khan Leghari,Independent,61430,56.9,,,23.8,8
1985,NA-126,Rajanpur,Punjab,Mir Balakh Sher Khan Mazari,Independent,84443,53.8,,,10.7,4
1985,NA-127,Muzaffargarh,Punjab,Dr. Mian Zulfiqar Ali Barq,Independent,51630,39.0,,,4.5,5
1985,NA-128,Muzaffargarh,Punjab,Malik Ghulam Muhammad Mujtaba Ghazi   Khar,Independent,60098,48.8,,,3.7,4
1985,NA-129,Muzaffargarh,Punjab,Malik Ghulam Muhammad Murtaza Khar,Independent,67698,55.0,,,20.9,3
1985,NA-130,Layyah,Punjab,Ghulam Farid Khan Mirani,Independent,32339,36.4,,,3.5,5
1985,NA-131,Layyah,Punjab,Sardar Muhammad Jahangir Khan Sehar,Independent,28095,37.3,,,11.1,8
1985,NA-132,Sahiwal,Punjab,Muhammad Rafiq Safdar,Independent,33566,31.8,,,2.4,9
1985,NA-133,Sahiwal,Punjab,Rana Naeem Mahmood Khan,Independent,54445,52.2,,,11.3,4
