na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-35,Islamabad Full,,Haji Muhammad Nawaz Khokhar,PML-N,59308,Syed Nayyar Hussain Bukhari,PPP,49518,,,
NA-36,Rawalpindi I,,Shahid Khaqan Abbasi,PML-N,76596,Colonel (R) Habib Khan,PPP,45173,,,
NA-37,Rawalpindi II,,Chaudhary Muhammad Riaz,PML-N,72124,Raja Abdul Aziz Bhatti,PPP,59261,,,
NA-38,Rawalpindi III,,Sheikh Rasheed Ahmad,PML-N,80758,Agha Riaz ul Islam,PPP,53841,,,
NA-39,Rawalpindi IV,,Muhammad Ejaz ul Haq,PML-N,87676,Raja Shahid Zafar,PPP,64655,,,
NA-40,Rawalpindi V,,Ch. Nisar Ali Khan,PML-N,76288,Khan Ghulam Sarwar Khan Bojh,PPP,64800,,,
NA-41,Attock I Complete,,Shaikh Aftab Ahmad,PML-N,70671,Malik Muhammad Aslam Khan,PPP,54052,,,
NA-42,Attock II,,Malik Lal Khan,PML-N,60460,Malik Ameer Muhammad Khan,PPP,52226,,,
NA-43,Chakwal,,Lt. General Abdul Majeed Malik,PML-N,77483,Sardar Muhammad Ashraf Khan,PPP,67001,,,
NA-44,Chakwal II,,Sardar Mumtaz Khan,PPP,77185,Sardar Mansoor Hayyat Khan Tumman,PML-N,68501,,,
NA-45,Jhelum I,,Raja Muhammad Afzal Khan,PML-N,64632,Doctor Ghulam Hussain,PPP,61544,,,
NA-46,Jhelum II,,Nawabzada Iqbal Mehdi Khan,PML-N,58136,Shahid Nawaz Janjua,PPP,53314,,,
NA-47,Sargodha I,,Brigadier (R) Ghulam Hussain Cheema,PML-N,59279,Ehsan ul Haq Piracha,PPP,52170,,,
NA-48,Sargodha II Full,,Liaqat Hayyat Badrana,PPP,57757,Chaudhary Qadir Bakhsh Mela,PML-N,39817,,,
NA-49,Sargodha III,,Ahmad Zia ur Rehman Khan Lak,PML-N,56017,Mumtaz Ahmad Kahloon,PPP,54602,,,
NA-50,Sargodha IV,,Ch. Anwar Ali Cheema,PML-N,69360,Riaz Ameer alis Abdul Haq,PPP,66039,,,
NA-51,Sargodha Khushab,,Malik Muhammad Naeem Khan,PML-N,81565,Malik Muhammad Bashir Awan,PPP,67693,,,
NA-52,Khushab,,Sardar Shuja Muhammad Khan,PML-N,82146,Malik Ghulam Muhammad Khan Tiwana,PML-J,51532,,,
NA-53,Mianwali I Full,,Ubaid Ullah Khan Shadi Khel,Independent,43345,Gul Hameed Rokhari,Independent,36261,,,
NA-54,Mianwali II Full,,Doctor Sher Afghan Niazi,Independent,41941,Maulana Abdul Sattar Khan Niazi,PML-N,30793,,,
NA-55,Bhakkar I,,Muhammad Zafar Ullah Khan Dhandla,PML-N,56585,Bashir Ahmad Khan,Independent,55823,,,
NA-56,Bhakkar II,,Rasheed Akbar Khan Nawani,Independent,68350,Muhammad Zafar Ullah Khan Dhandla,PML-N,51102,,,
NA-57,Faisalabad I,,Rana Zahid Tausif Khan,PML-N,67309,Umar Draz Khan,PPP,64946,,,
NA-58,Faisalabad II,,Rai Arif Hussain,PPP,58917,Rai Muhammad Aslam Khan,PML-N,49585,,,
NA-59,Faisalabad III,,Khan Shahadat Ali Khan Baloch,PPP,60323,Alhaj Mian Nasir Ahmad Khan Baloch,PML-N,41196,,,
NA-60,Faisalabad IV,,Chaudhary Shahid Nazir Ahmad,PPP,62088,Safdar Rehman,PML-N,45951,,,
NA-61,Faisalabad V,,Chaudhary Muhammad Ilyas Ahmad,PPP,63548,Ch.Talib Hussain,PML-N,61967,,,
NA-62,Faisalabad VI,,Sardar Dildar Ahmad Cheema,PPP,45457,Raja Nadir Parvez Khan,PML-N,45298,,,
NA-63,Faisalabad VII,,Haji Muhammad Akram Ansari,PML-N,62592,Nisar Akbar Khan,PPP,48796,,,
NA-64,Faisalabad VIII,,Chaudhary Sher Ali,PML-N,66183,Mian Zahid Sarfraz,PML-J,50023,,,
NA-65,Faisalabad IX,,Mian Amjad Yaseen,PML-N,68496,Mehar Abdur Rasheed,PPP,65148,,,
NA-66,Jhang I,,Sahibzada Zafar Abbas Syed,PPP,51843,Qaisar Ahmad Sheikh,PML-N,38449,,,
NA-67,Jhang II,,Syed Asad Hayyat Shah,PPP,50273,Moulana Haji Muhammad Rehmatullah,PML-N,49152,,,
NA-68,Jhang III,,Hafiz Muhammad Azam Tariq,MDM,55004,Sheikh Muhammad Iqbal S/O Muhammad Nawaz,Independent,36278,,,
NA-69,Jhang IV,,Makhdoom Syed Faisal Saleh Hayat,PPP,61970,Begum Kishwar Abid Hussain,PML-N,52471,,,
NA-70,Jhang V,,Sahibzada Muhammad Nazir Sultan,PPP,63516,Khan Muhammad Arif Khan,PML-N,49553,,,
NA-71,Toba Tek Singh I,,Khalid Ahmad Khan Kharal,PPP,65691,Chaudhary Asard ur Rehman Ramday,PML-N,57434,,,
NA-72,Toba Tek Singh II,,Chaudhary Muhammad Ashfaq,PPP,66195,Ch. Abdul Sattar,PML-N,46610,,,
NA-73,Toba Tek Singh III,,Hamza,PML-N,48419,Haji Muhammad Ishaque,PPP,38214,,,
NA-74,Gujranwala I,,Chaudhary Hamid Nasir Chatha,PML-J,79036,Saif Ali Chatha,PML-N,59462,,,
NA-75,Hafizabad,,Chaudhary Mehdi Hassan Bhatti,PPP,81243,Afzal Hussain Tarar,PML-N,57128,,,
NA-76,Gujranwala III General,,Ghulam Dastgir Khan,PML-N,64769,Alhaj Aman Ullah,PPP,53591,,,
NA-77,Gujranwala IV,,Chauhdary Muhammad Asghar,PML-J,56443,Chaudhary Zafar Ullah Cheema,PML-N,52849,,,
NA-78,Gujranwala V,,Chaudhary Muhammad Abdullah Virk,PPP,63854,Rana Nazir Ahmad Khan,PML-N,52093,,,
NA-79,Gujranwala VI,,Chaudhary Ijaz Ahmad,PML-N,63689,Ch. Muhammad Ashraf Warraich,PPP,61299,,,
NA-80,Gujrat I,,Nawabzada Ghazanfar Ali Gul,,79772,Chaudhary Shujaat Hussain,,74918,,,
NA-81,Gujrat II,,Chaudhary Ahmad Mukhtar,PPP,80759,Chaudhary Shujaat Hussain,PML-N,77365,,,
NA-82,Gujrat III,,Haji Chaudhary Muhammad Asghari,PPP,78743,Syed Manzoor Hussain Shah,PML-N,77379,,,
NA-83,Mandi Bahauddin Gujrat,,Zafar Ullah Tarar,PPP,67154,Mian Waheed Ud Din,PML-N,41423,,,
NA-84,Mandi Bahauddin,,Nazar Muhammad Gondal,PPP,47887,Chaudhary Muhammad Iqbal Bosal,PML-N,47296,,,
NA-85,Sialkot I,,Khawaja Muhammad Asif,PML-N,66336,Mian Muhammad Shafi,PPP,43114,,,
NA-86,Sialkot II,,Chaudhary Akhtar Ali,PML-J,69698,Ch. Ameer Hussain,PML-N,64752,,,
NA-87,Sialkot III,,Syed Iftikhar ul Hassan Shah,PML-N,69559,Ijaz Ahmad Cheema,PPP,69168,,,
NA-88,Sialkot IV,,Chaudhary Abdul Sattar,PML-J,59948,"Ch, Sikandar Hayat Malhi",PML-N,57937,,,
NA-89,Sialkot Narowal,,Chaudhary Muhammad Sarwar Khan,PML-N,59662,Zahid Hamid,PPP,44785,,,
NA-90,Narowal I,,Ahsan Iqbal,PML-N,54893,Chaudhary Shafaat Ahmad Khan,PPP,38942,,,
NA-91,Narowal II,,Muhammad Ishfaq Taj,PML-N,36060,Danial Aziz,Independent,34789,,,
NA-92,Lahore I Full,,Mian Muhammad Nawaz Sharif,PML-N,57866,Haji Mian Aziz Ur Rehman Chan,PPP,43260,,,
NA-93,Lahore II,,Humayun Akhtar Khan,PML-N,66564,Chudhary Aitzaz Ahsan,PPP,62713,,,
NA-94,Lahore III,,Mian Abdul Waheed,PML-N,52308,Salman Taseer,PPP,47283,,,
NA-95,Lahore IV Full,,Mian Muhammad Nawaz Sharif,PML-N,57959,Zia Bakhat Butt,PPP,33142,,,
NA-96,Lahore V,,Mian Muhammad Shahbaz Sharif,PML-N,55867,Mian Yousaf Salah Ud Din,PPP,37858,,,
NA-97,Lahore VI,,Tariq Baddar Ud Din Banday,PML-N,64834,Jahangir Badar,PPP,53591,,,
NA-98,Lahore VII,,Mian Muhammad Munir,PML-N,64151,Mian Khalid Saeed,PPP,44766,,,
NA-99,Lahore VIII,,Mehar Zulfiqar Ali Babu,PML-N,43972,Muhammad Arshad,PPP,37146,,,
NA-100,Lahore IX,,Chaudhary Khalid Javid Ghurki,PPP,38443,Ch. Muhamamd Ashiq Ali Diyal,PML-N,38361,,,
NA-101,Sheikhupura I,,Nisar Ahmad Punnu,PPP,63049,Rana Tanveer Hussain,PML-N,51519,,,
NA-102,Sheikhupura II,,Munawar Hussain Manj,PPP,61465,Mehmood Akbar Khan,PML-N,56909,,,
NA-103,Sheikhupura III,,Muhammad Barjees Tahir,PML-N,46853,Muhammad Arif Awan,PPP,39939,,,
NA-104,Sheikhupura IV,,Chaudhary Tawakkal Ullah Virk,PPP,60917,Haji Naeem Hussain Chatha,PML-N,60459,,,
NA-105,Sheikhupura V,,Rai Bashir Ahmad Khan Bhatti,PPP,48346,Rai Mansab Ali Khan,PML-N,42966,,,
NA-106,Kasur I,,Sardar Aseff Ahmad Ali,PML-J,46263,Mian Khurshid Mahmood Kasuri,PML-N,37500,,,
NA-107,Kasur II,,Rao Khizar Hayyat Khan,PML-N,48169,Chaudhary Tariq Hakim Ali,PPP,35154,,,
NA-108,Kasur III,,Sardar Talib Hussain Nakai,PML-J,62598,Rana Muhammad Hayyat Khan,PML-N,54380,,,
NA-109,Kasur IV,,Muhammad Ashiq Dogar,PPP,56486,Maulana Mueenuddin Lakhvi,PML-N,53110,,,
NA-110,Okara I,,Rao Sakandar Iqbal,PPP,52320,Mian Muhammad Zaman,PML-N,47559,,,
NA-111,Okara,,Chaudhary  Shafqat Abbas Rabhera,PML-N,51405,Rai   Muhammad Aslam Khan Kharal,PPP,49755,,,
NA-112,Okara,,Rao   Qaisar Ali Khan,PML-N,55132,Rao   Muhammad Afzal Khan,PPP,42680,,,
NA-113,Okara,,Mian Muhammad Yaseen Khan Watto,PML-N,55303,Mian   Manzoor Ahmad Watto,PML-J,52175,,,
NA-114,Multan,,Makhdoom Syed Yousif Raza Gillani,PPP,72078,Haji   Sikandar Hayat Bosan,PML-N,48057,,,
NA-115,Multan,,Haji Muhammad Boota,PML-N,60871,Pir   Riaz Hussain Qureishi,PPP,44063,,,
NA-116,Multan,,Shaikh Muhammad Tahir Rasheed,PML-N,50367,Syed   Tanveer Ul Hassan Gillani,PPP,48528,,,
NA-117,Lodhran,,Rana Mumtaz Ahmad Khan Noon,PPP,77093,Muhammad Siddique Khan Kanjo,PML-N,61237,,,
NA-118,Multan,,Mirza Muhammad Nasir Baig,PPP,72787,Syed   Nasir Ali Rizvi,PML-N,55195,,,
NA-119,Multan,,Syed Javed Ali Shah,PML-N,63091,Rana   Shaukat Hayyat Noon,PPP,57191,,,
NA-120,Multan Khanewal,,Makhdoom Shah Mehmood Hussain Qureshi,PPP,73289,Makhdoom Muhammad Javed,PML-N,54385,,,
NA-121,Khanewal,,Haji Muhammad Iqbal Hiraj,PPP,64482,Syed   Fakhar Imam Shah,PML-N,52724,,,
NA-122,Khanewal,,Major (R) Aftab Ahmad Daha,PML-N,61281,Sardar   Allah Yar Hiraj,PPP,57042,,,
NA-123,Khanewal,,Pir Muhammad Aslam Bodla,PPP,72658,Majeeda Wyen,PML-N,51454,,,
NA-124,Sahiwal,,Chaudahry Nauraiz Shakoor,PPP,64695,Mian   Anwar Ul Haq Ramay,PML-N,63236,,,
NA-125,Sahiwal,,Mehar Ghulam Farid Kathia,PPP,61015,Chaudhary Muhammad Ashraf,PML-N,56079,,,
NA-126,Sahiwal,,Begum   Shahnaz Javed,PPP,73454,Rai   Ahmad Nawaz,PML-N,59582,,,
NA-127,Sahiwal,,Mian Muhammad Amjad Joiya,PPP,60881,Raja   Shahid Saeed Khan,PML-N,55889,,,
NA-128,Sahiwal,,Rao   Muhammad Hashim Khan,PPP,55704,Muhammad   Ahmad Khan,PML-N,42881,,,
NA-129,Vehari,,Mian Noor Muhammad Khan Bhaba,PPP,63622,Muhammad Nawaz alias Dilawar Khan Khichi,PML-N,61047,,,
NA-130,Vehari,,Tahmina Aqeel Daultana,PML-N,74654,Abdul   Hameed Bhatti,PPP,46943,,,
NA-131,Vehari III,,Qurban Ali Chohan,,77734,Chaudhary Nazir Ahmad,,63307,,,
NA-132,Dera Ghazi Khan,,Khawja Kamal Ud Din Anwar,PPP,67432,Muhammad Amjad Farooq Khan Khosa,PML-N,65002,,,
NA-133,Dera Ghazi Khan,,Sardar Farooq Ahmad Khan Leghari,PPP,95943,Sardar   Muhammad Saif Uddin Khosa,PML-N,50938,,,
NA-134,Rajanpur,,Mir Balkh Sher Mazari,Independent,74183,Sardar   Nasrullah Khan Dreshik,Independent,61210,,,
NA-135,Muzaffargarh,,Sardar Abdul Qayyum Khan Jatoi,PML-N,53241,Moulana Shah Ahmad Noorani Siddiqi,IJM,40482,,,
NA-136,Muzaffargarh,,Nawabzada Nasrullah Khan,NDA,62264,Mian   Atta Muhammad Qureshi,PML-N,47702,,,
NA-137,Muzaffargarh,,Malik Ghulam Muhammad Mustafa Khar,Independent,51776,Mian   Ehsan Karim Qureishi,PML-N,25679,,,
NA-138,Muzaffargarh,,Malik Ghulam Muhammad Mustafa Khar,PPP,60226,Mian   Ghulam Abbas Qureshi,PML-N,54527,,,
NA-139,Layyah,,Malik Niaz Ahmad Jhakhar,PPP,64650,Malik   Ghulam Haidar Thind,PML-N,49156,,,
NA-140,Layyah,,Muhammad Jahangir Khan,PPP,51162,Sahibzada Faiz ul Hassan,PML-N,46480,,,
NA-141,Bahawalpur,,Nawab Salah Ud Din Abbasi,PML-N,67115,Shahzada Muhammad Usman Abbasi,PML-J,49992,,,
NA-142,Bahawalpur,,Sahabzada Farooq Anwar Abbasi,PML-N,69280,Tariq   Bashir Cheema,PPP,64480,,,
NA-143,Bahawalpur,,Mian Riaz Hussain Pirzada,PPP,85922,Syed Tasneem Hussain Gardezi,PML-N,69445,,,
NA-144,Bahawalnagar,,Mian Abdul Sattar Lalika,PML-N,80541,Syed   Muhammad Asghar Shah,PML-J,56983,,,
NA-145,Bahawalnagar,,Mian Mamtaz Ahmad Matiana,PPP,82480,Mian   Abdul Sattar Laleka,PML-N,65077,,,
NA-146,Bahawalnagar,,Ali   Akbar Mazhar Wains,PPP,89723,Chaudhary Abdul Ghafoor,PML-N,59062,,,
NA-147,Rahim Yar Khan,,Makhdoom Syed Ahmad Alam Anwar,PPP,75368,Khawaja Muhammad Asghar Koreja,PML-N,44817,,,
NA-148,Rahim Yar Khan,,Makdoom Shahab Ud din,PPP,66371,Makhdoom Rukan uddin,PML-N,45725,,,
NA-149,Rahim Yar Khan,,Chaudhary Muhammad Jaffar Iqbal,PML-N,79720,Chaudhary Zafar Iqbal Waraich,PPP,62460,,,
NA-150,Rahim Yar Khan,,Makhdoom  Syed Ahmad Mehmood,PML-N,83317,Sardar   Rafiq Haidar Khan Leghari,PPP,64815,,,
NA-151,Sukkur,,Syed Khurshid Ahmad Shah,PPP,50399,Yar   Muhammad Ghumro,PML-N,34947,,,
NA-152,Sukkur Ghotki,,Sardar Ghulam Muhammad Khan Mehar,PML-N,48252,Jam   Saif Ullah Dharejo,PPP,35896,,,
NA-153,Sukkur,,Sardar Noor Muhammad Khan Lund,PPP,48617,Haji   Ahmad Yar Khan,PML-N,41577,,,
NA-154,Shikarpur,,Aftab Shahban Mirani,PPP,31309,Moulvi   Muhammad Alim Pahore,IJM,18917,,,
NA-155,Shikarpur,,Altaf Ali Bhayo,PPP,31857,Agha   Atta Muhammad Khan,Independent,16775,,,
NA-156,Jacobabad,,Mir   Ahmad Nawaz Khan Jakhrani,PPP,43474,Ellahi   Bux Somro,PML-N,24236,,,
NA-157,Jacobabad,,Mir   Mehran Khan Bajarani,PPP,30970,Mir   Hazar Khan Bajarani,Independent,29684,,,
NA-158,Nawabshah,,Ghulam Mustafa Khan Jatoi,NPP,48594,Asif   Ali Zardari,PPP,28929,,,
NA-159,Nawabshah,,Syed Zafar Ali Shah,PPP,66455,Mian   Khalid Rajpar,PML-N,39391,,,
NA-160,Nawabshah,,Asif Ali Zardari,PPP,40372,Syed   Kazim Hussain Shah,PML-N,29026,,,
NA-161,Nawabshah,,Hakim Ali Zardari,PPP,40644,Syed   Shabbir Ahmad Shah,PML-N,26511,,,
NA-162,Khairpur,,Manzoor Hussain Wassan,PPP,69298,Syed   Ghous Ali Shah,PML-N,61224,,,
NA-163,Khairpur,,Peer Syed   Abdul Qadir Shah,PPP,65193,Pir Syed Sadar Uddin Shah,PML-N,51891,,,
NA-164,Larkana,,Begum Nusrat Bhutto,PPP,67931,Hameeda Khoro,PML-N,8366,,,
NA-165,Larkana,,Shabbir Ahmad Chandio,PPP,46808,Haidar   Ali Khan Talpur,PML-N,16720,,,
NA-166,Larkana,,Mohtarma Benazir Bhutto,PPP,59376,Doctor   Khalid Mehmood Somro,IJM,15730,,,
NA-167,Hyderabad,,Makhdoom Amin Faheem,PPP,,,,,,,
NA-168,Hyderabad,,Sahibzada Shabbir Hassan Ansari,PML-N,18562,Amanullah,PPP,9832,,,
NA-169,Hyderabad,,Qazi Asad Abid,PPP,17837,Nawab   Muhammad Yamin,PML-N,10425,,,
NA-170,Hyderabad,,Syed Naveed Qamar,PPP,46808,Mir   Haidar Ali Khan Talpur,PML-N,16720,,,
NA-171,Hyderabad,,Abdul Sattar Bachani,PPP,33812,Mir   Ghulam Murtaza Bhutto,SBC,20067,,,
NA-172,Badin,,Abdul Sattar Laghari,PPP,39216,Haji   Abdullah Halipota,PML-N,24834,,,
NA-173,Badin,,Doctor Zulfiqar Mirza,PPP,39528,Meer   Ghulam Murtaza Bhutto,SBC,13313,,,
NA-174,Tharparkar,,Pir   Aftab Hussain Shah Gillani,PPP,42059,Syed   Qurban Ali Shah,PML-N,36833,,,
NA-175,Tharparkar,,Nawab Muhammad Yousif Talpur,PPP,40780,Pir   Noor Muhammad Shah Jillani,PML-N,33219,,,
NA-176,Tharparkar,,Arab Ghulam Raheem,PPP,63407,Abdul   Qados,PML-N,18242,,,
NA-177,Dadu,,Malik Asad Sikandar,PPP,48065,Pir   Baskhsh,PML-N,19958,,,
NA-178,Dadu,,Haji  Muhammad Bux Jamali,PPP,50293,Zafar   Ullah Khan,Independent,6617,,,
NA-179,Dadu,,Rafiq Ahmad Mahessar,PPP,51277,Abdul   Hameed Khan Jatoi,PML-N,33988,,,
NA-180,Sanghar,,Haji Khuda Bakhash Rajpar,PML-N,51931,Makhdoom Shah Nawaz,PPP,29524,,,
NA-181,Sanghar,,Jam   Mashooq Ali,PML-N,50531,Shah   Nawaz Khan Junejo,PPP,45121,,,
NA-182,Thatta,,Ghulam Hussain alias Babu,PPP,48425,Syed   Ijaz Ali Shah Sherazi,Independent,28428,,,
NA-183,Thatta,,Syed Shafqat Hussain Shah Sherazi,Independent,43334,Abdul   Rehman Memon,PPP,35340,,,
NA-184,Karachi West,,Mian Ijaz Shafi,PML-N,32937,Syed   Masroor Ahsan,PPP,32671,,,
NA-185,Karachi West,,Muhammad Afaq Khan,PPP,14866,Alhaj   Shamimuddin,PML-N,10218,,,
NA-186,Karachi Central,,Dost Muhammad Faizi,PML-N,17058,Naimatullah Khan,PIF,10344,,,
NA-187,Karachi Central,,Hafiz Muhammad Taqi,PML-N,9863,Shah   Farid Ul Haq,IJM,6386,,,
NA-188,Karachi Central,,Muzaffar Ahmad Hashmi,PIF,12235,Hamza   Ali Qadri,PML-N,11257,,,
NA-189,Karachi South,,Waja Ahmad Karim Dad,PPP,38849,Muhammad Younis Baloch,PML-N,18996,,,
NA-190,Karachi South,,Abdul Aziz Memon,PPP,23309,Haji   Muhammad Hanif Tayyab,PML-N,19439,,,
NA-191,Karachi South,,Caption (R) Haleem Ahmad Siddiqui,PML-N,33840,Mian   Muhammad Akhtar Pagganwala,PPP,10245,,,
NA-192,Karachi East,,Zuhair Akram Nadeem,PML-N,20101,Sheikh   Muhammad Saeed Chawala,PPP,8589,,,
NA-193,Karachi East,,Abu   Bakar Shaikhani,PML-N,27845,Syed   Munawar Hassan,PIF,8550,,,
NA-194,Karachi East,,Haji Muzafar Ali Shujra,PPP,13709,Mansoor Ahmad Sootwala,PML-N,9412,,,
NA-195,Karachi East,,Professor Nabi Dad Khan,PPP,25612,Doctor   Rahim Ul Haq,PML-N,16628,,,
NA-196,Karachi East,,Sher Muhammad Baloch,PPP,23687,Aleem   Adil Sheikh,PML-N,12824,,,
NA-197,Quetta Chagai,,Mehmood Khan Achakzai,PKMAP,47559,Sardar   Fateh Muhammad Mohammad Hasni,PPP,38649,,,
NA-198,Pishin,,Mahmood Khan Achakzai,PKMAP,25879,Moulvi   Abdul Ghani,IJM,24726,,,
NA-199,Loralai,,Haji Gul Muhammad Khan Dummar,IJM,18298,Sardar   Muhammad Yaqoob Khan Nasir,PML-N,16604,,,
NA-200,Zhob,,Nawab Muhammad Ayaz Khan Jogezai,PKMAP,16279,Moulvi   Muhammad Khan Sherani,IJM,15260,,,
NA-201,Kachhi,,Sardar Yar   Muhammad Rind,JWP,13252,Doctor   Abdul Haye Baloch,BNM-H,9184,,,
NA-202,Sibbi Kohlu Dera Bugti Ziarat,,Nawab Muhammad Akbar Khan Bugti,JWP,27645,Molvi   Atta Ullah,IJM,5138,,,
NA-203,Jaffarabad,,Mir   Zafar Ullah Khan Jamali,Independent,28192,Mir   Nabi Bakhash Khoso,PPP,24042,,,
NA-204,Kalat Kharan,,Molvi Abdul Ghafoor Haidari,IJM,22589,Sardar   Muhammad Akhtar Maingal,BNM-M,13419,,,
NA-205,Khuzdar,,Mir   Muhammad Ayub Jattak,BNM-M,19126,Mir   Muhammad Hasil Khan Bazinjo,PNP,17648,,,
NA-206,Lasbela Gwadur,,Ghulam   Akbar Lasi,PPP,33720,Jam   Muhammad Yousif,PML-N,26483,,,
NA-207,Turbat Panjgur,,Doctor Muhammad Yasin Baloch,BNM-H,28365,Mir   Bizen Binanjo,PNP,14436,,,
