na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-90,Sialkot 6,,Ghulam Mustafa,IJI,60982,Chaudhary Shafayat Ahmad Khan,PDA,34253,,,
NA-91,Sialkot 7,Punjab,Muhammad Ishfaq Taj,IJI,,,,,,,
NA-92,Lahore 1,,Hamayun Akhtar Khan,IJI,57866,Rafiq Ahmad Shaikh,PDA,44384,,,
NA-93,Lahore 2,,Chudhary Aitzaz Ahsan,PDA,65624,Ihsan ul Haq,IJI,52697,,,
NA-94,Lahore 3,,Mian Umar Hayyat,IJI,53352,Salman Taseer,PDA,51953,,,
NA-95,Lahore 4,,Mian Nawaz Sharif,IJI,59944,Air Marshel (R) Muhammad Asghar Khan,PDA,39585,,,
NA-96,Lahore 5,,Mian Muhammad Shahbaz Sharif,IJI,54506,Jahangir Badar,PDA,41902,,,
NA-97,Lahore 6,,Liaqat Baloch,IJI,68943,Khawja Ahmad Tariq Raheem,PDA,51058,,,
NA-98,Lahore 7,,Mian Muhammad Usman,IJI,60220,Sheikh Muhammad Rasheed,PDA,48686,,,
NA-99,Lahore 8,,Wazir Ali Bhatti,IJI,42549,Muhammad Arshad,PDA,32962,,,
NA-100,Lahore 9,,Muhammad Ashiq Ali Diyal,IJI,46842,Malik Meraj Khalid,PDA,34289,,,
NA-101,Sheikhupura 1,,Rana Tanveer Hussain,IJI,60175,Nisar Ahmad Punnu,PDA,56429,,,
NA-102,Sheikhupura 2,,Chaudhary Nazir Ahmad Virk,IJI,39430,Munawar Hussain Manj,PAT,38377,,,
NA-103,Sheikhupura 3,,Muhammad Barjees Tahir,IJI,49701,Muhammad Arif Awan,PDA,32570,,,
NA-104,Sheikhupura 4,,Haji Naeem Hussain Chatha,IJI,59036,Chaudhary Tawakkal Ullah Virk,PDA,44803,,,
NA-105,Sheikhupura 5,,Rai Mansab Ali Khan,IJI,43708,Rai Rasheed Ahmad Khan,PDA,37098,,,
NA-106,Kasur 1,,Sardar Aseff Ahmad Ali,Independent,46590,Riaz Ahmad,Independent,29032,,,
NA-107,Kasur 2,,Rao Khizar Hayyat Khan,IJI,43657,Chaudhary Hakim Ali,PDA,35883,,,
NA-108,Kasur 3,,Rana Muhammad Hayyat Khan,Independent,51189,Sardar Talib Hussain Nakai,IJI,41554,,,
NA-109,Kasur 4,,Maulana Mueenuddin Lakhvi,IJI,53859,Sardar Muhammad Ashiq Dogar,PDA,45856,,,
NA-110,Okara 1,,Mian Muhammad Zaman,IJI,54096,Rao Sakandar Iqbal,PDA,45184,,,
NA-111,Okara 2,,Syed Sajjad Haider,IJI,50728,Rai Muhammad Aslam Khan,PDA,48895,,,
NA-112,Okara 3,,Mian Manzoor Ahmad Khan Watto,IJI,66753,Syed Abbas Raza Rizvi,PDA,39998,,,
NA-113,Okara 4,,Mian Muhammad Yasin Khan Wattoo,IJI,71129,Mian Atta Muhammad Maneka,PDA,46473,,,
NA-114,Multan 1,,Syed Yousif Raza Gillani,PDA,60076,Makhdoom Syed Hamid Raza Gillani,IJI,54781,,,
NA-115,Multan 2,,Syed Hamid Saeed Kazmi,JUP-N,62637,Pir Riaz Hussain Qureshi,PDA,42288,,,
NA-116,Multan 3,,Syed Tanveer ul Hassan Gillani,IJI,50066,Malik Mukhtar Ahmad Awan,PDA,39852,,,
NA-117,Multan 4,,Haji Hayyatullah Khan Tareen,IJI,64567,Rana Mumtaz Ahmad Khan Noon,PDA,56382,,,
NA-118,Multan 5,,Muhammad Siddique Khan Kanjo,IJI,60954,Mirza Muhammad Nasir Baig,PDA,40558,,,
NA-119,Multan 6,,Syed Javed Ali Shah,IJI,66900,Rana Shukat Hayyat Noon,PDA,52084,,,
NA-120,Lahore 3,,Muhammad Javed Hashmi,IJI,70025,Khalid Iqbal Randhawa,PDA,52881,,,
NA-121,Khanewal 1,,Syed Fakhar Imam Shah,IJI,58479,Mahar Muhammad Iqbal Hiraj,PDA,45523,,,
NA-122,Khanewal 2,,Major ( R ) Aftab Ahmad Khan Daha,IJI,63998,Mian Qamar uz Zaman Shah Khagga,PDA,44784,,,
NA-123,Khanewal 3,,Ghulam Haider Wyne,IJI,76045,Pir Muhammad Aslam Bodla,PDA,54856,,,
NA-124,Sahiwal 1,,Anwar ul Haq Ramay,IJI,63665,Chaudhary Naurez Shakoor,PDA,55677,,,
NA-125,Sahiwal 2,,Mehar Ghulam Farid Kathia,PDA,54982,Muhammad Arshad Khan Lodhi,IJI,50529,,,
NA-126,Sahiwal 3,,Rai Ahmad Nawaz Khan,IJI,69338,Shahnaz Javed,PDA,65810,,,
NA-127,Sahiwal 4,,Raja Shahid Saeed Khan,IJI,61831,Tika Muhammad Iqbal,PDA,43101,,,
NA-128,Sahiwal 5,,Mian Mehmood Ahmad Khan,IJI,60593,Rao Muhammad Hashim Khan,PDA,45960,,,
NA-129,Vehari 1,,Muhammad Nawaz Khan Aias Dilawar Khan Khichi,IJI,87427,Mian Muhammad Mumtaz Khan Bhabha,PDA,55922,,,
NA-130,Vehari 2,,Akbar Ali Bhatti,IJI,50917,Muhammad Ahsan Khan Khakwani,PDA,44088,,,
NA-131,Vehari 3,,Syed Shahid Mehdi Naseem Shah,IJI,72159,Qurban Ali Chohan,PDA,60747,,,
NA-132,Dera Ghazi Khan 1,,Sardar Muhammad Amjad Farooq Khan,IJI,78360,Khawaja Kamaluddin Anwar,PDA,55711,,,
NA-133,Dera Ghazi Khan 2,,Sardar Farooq Ahmad Khan Leghari,PDA,76378,Sardar Tufail Ahmad Khan Laghari,IJI,56342,,,
NA-134,Rajanpur,,Mir Balakh Sher Khan Mazari,IJI,76446,Sardar Ashiq Muhammad Khan Mazari,PDA,57765,,,
NA-135,Muzaffargarh,,Sardar Abdul Qayyum Khan Jatoi,JUP-N,54039,Syed Jamil Ahmad Hussain Bukhari,PDA,51338,,,
NA-136,Muzaffargarh 2,,Mian Atta Muhammad Qureshi,JUP-N,54424,Nawabzada Nasrullah Khan,PDP,46638,,,
NA-137,Muzaffargarh 3,,Malik Ghulam Muhammad Mustafa Khar,Independent,43435,Malik Ghulam Muhammad Noor Rabbani Khar,Independent,30438,,,
NA-138,Muzaffargarh 4,,Ghulam Muhammad Mustafa Khar,Independent,51755,Mian Ghulam Abbas Qureishi,IJI,39741,,,
NA-139,Layyah 1,,Pir Syed Muhammad Khurshid Shah,IJI,59848,Malik Niaz Ahmad Jakhar,PDA,43180,,,
NA-140,Layyah 2,,Sahibzada Faiz-ul-Hassan,IJI,51446,Muhammad Jehangir Khan Sehar,PDA,44694,,,
NA-141,Bahawalpur 1,,Muhammad Usman Abbasi,Independent,59175,Prince Salahud Din Abbasi,IJI,58807,,,
NA-142,Bahawalpur 2,,Farooq Anwar Abbasi,IJI,71825,Farooq Azam Malik,PDA,47515,,,
NA-143,Bahawalpur 3,Punjab,Syed Tasneem Nawaz Gardezi,IJI,,,,,,,
NA-144,Bahawalnagar 1,,Syed Muhammad Asgahr Shah,Independent,50555,Syed Mumtaz Alam Gillani,PDA,42897,,,
NA-145,Bahawalnagar 2,,Mian Abdul Sattar Khan Lalika,IJI,81088,Mian Mumtaz Ahmad,PDA,60521,,,
NA-146,Bahawalnagar 3,,Abdul Ghafoor Chaudhary,IJI,74872,Ali Akbar Mazhar Wains,PDA,66076,,,
NA-147,Rahim Yar Khan 1,,Syed Ahmad Alam Anwar,PDA,66205,Khawaja Jamal Muhammad Koreja,IJI,57432,,,
NA-148,Rahim Yar Khan 2,,Makhdoom Shahab ud Din,PDA,59181,Makhdoom Imaduddin,IJI,57740,,,
NA-149,Rahim Yar Khan 3,,Mian Abdul Khaliq,IJI,80304,Makhdoom Rukan ud Din,PDA,51454,,,
NA-150,Rahim Yar Khan 4,,Makhdoom Syed Ahmad Mehmood,IJI,52816,Rais Shabbir Ahmad,PDA,45144,,,
NA-151,Sukkur 1,,Syed Khursheed Ahmad Shah,PDA,60733,Islamuddin Sheikh,IJI,43618,,,
NA-152,Sukkur 2,,Jam Saifullah Khan Dharejo,PDA,48938,Sardar Ghulam Muhammad Khan Magar,Independent,39985,,,
NA-153,Sukkur 3,,Noor Muhammad Khan Lund,PDA,49399,Pir Syed Sadardin Shah,Independent,34978,,,
NA-154,Shikarpur 1,,Aftab Shahban Merani,PDA,38301,Junaid Ahmad Soomro,SNF,20128,,,
NA-155,Shikarpur 2,,Mir Altaf Khan Bhayo,PDA,43193,Mumtaz Ali Khan Bhutto,SNF,10333,,,
NA-156,Jacobabad 1,,Illahi Bukhsh Soomro,Independent,53151,Sardar Muhammad Muqeem Khan,PDA,52211,,,
NA-157,Jacobabad 2,,Mir Hazar Khan Bijarani,Independent,81610,Mir Mehran Khan Bijarani,PDA,35818,,,
NA-158,Naushero Feroz 1,,Ghulam Mustafa Khan Jatoi,IJI,88166,Rehmatullah Khan Bihan,PDA,21829,,,
NA-159,Nawabshah 2,,Zafar Ali Shah,PDA,57029,Ghulam Mujtaba Khan Jatoi,IJI,51520,,,
NA-160,Nawabshah 1,,Ghulam Murtaza Khan Jatoi,IJI,48588,Asif Ali Zardari,PDA,44964,,,
NA-161,Nawabshah 2,,Syed Shabir Ahmad Shah,PDA,57801,Ghulam Rasool Unar,IJI,13656,,,
NA-162,Khairpur 1,,Syed Pervez Ali Shah Jillani,PPP,74358,Pir Syed Ali Mardan Shah Pir Paggara,Independent,46073,,,
NA-163,Khairpur 2,,Pir Syed Abdul Qadir Shah,PDA,79080,Pir Syed Saddaruddin Shah,Independent,39391,,,
NA-164,Larkana 1,,Begum Nusrat Bhutto,PDA,79901,Shah Muhammad,Independent,9203,,,
NA-165,Larkana 2,,Shabbir Ahmed Khan Chandio,PDA,59164,Mumtaz Ali Bhutto,SNF,16198,,,
NA-166,Larkana 3,,Mohtarma Benazir Bhutto,PDA,94462,Sardar Allah Bux Jalbani,Independent,718,,,
NA-167,Hyderabad 1,,Makhdoom Amin Faheem,PDA,50154,Shah Muhammad Shah,Independent,17074,,,
NA-168,Hyderabad 2,,Kanwar Naveed Jamel,HPG,76578,Shah Farid ul Haq,JUP-N,13949,,,
NA-169,Hyderabad 3,,Dr. Khalid Maqbool Siddiqui,HPG,91373,Mrza Ashiq Hussain Baig,PDA,24259,,,
NA-170,Hyderabad 4,,Syed Naveed Qamar,PDA,56902,Mir Mushtaq Ali Khan Talpur,Independent,16563,,,
NA-171,Hyderabad 5,,Abdul Sattar Bachani,PDA,59209,Syed Umeed Ali Shah,Independent,22878,,,
NA-172,Badin 1,,Abdullah Halepoto,PDA,42506,Bashir Ahmad Laghari,Independent,16249,,,
NA-173,Badin 2,,Bashir Ahmed Halepoto,PDA,36133,Ghulam Ali Nizamani,Independent,12951,,,
NA-174,Tharparkar 1,,Anees Ahmad Khan,HPG,44909,Syed Qurban Ali Shah,PDA,44493,,,
NA-175,Tharparkar 2,,Muhammad Khan Junejo,IJI,32019,Ali Nawaz Shah,PDA,28930,,,
NA-176,Tharparkar 3,,Arbab Ghulam Rahim,Independent,49970,Fakir Muhammad Hafeez,PDA,37938,,,
NA-177,Dadu 1,,Malik Asad Sikandar Khan,PDA,53431,Abdul Hafeez Pirzada,PNP,21333,,,
NA-178,Dadu 2,,Haji Muhammad Bux Jamali,PDA,56243,Doctor Manzoor Hussain Leghari,Independent,21535,,,
NA-179,Dadu 3,,Rafiq Ahmad Mahessar,PDA,52949,Abdul Hameed Khan,SNA-HJ,31125,,,
NA-180,Sanghar 1,,Pir Syed Ali Gohar Shah Rashdi,Independent,76853,Zahoor Alam Khan Rind,PDA,23319,,,
NA-181,Sanghar 2,,Jam Mashooq Ali,Independent,71405,Shah Nawaz Junejo,PDA,46889,,,
NA-182,Thatta 1,,Ghulam Hussain Alias Babu,PDA,47370,Rasool Bux,AT-PG,12015,,,
NA-183,Thatta 2,,Arbab Wazir Ahmad,PDA,33774,Syed Shafqat Hussain Shah Sheerazi,Independent,25562,,,
NA-184,Karachi West 1,,Muhammad Irfan Khan,HPG,50042,Abdul Ghani,PDA,45004,,,
NA-185,Karachi West 2,,Syed Salim ul Haq,HPG,93883,Muhammad Affaq Khan,PDA,15563,,,
NA-186,Karachi Central 1,,Kanwar Khalid Younis,HPG,90497,Professor Ghafoor Ahmad,IJI,21254,,,
NA-187,Karachi Central 2,,Imran Farooq,HPG,111340,Syed Hussain Abbas Zaidi,PDA,3487,,,
NA-188,Karachi Central 3,,Syed Muhammad Aslam,HPG,142591,Muhammad Usman Ramz,Independent,12410,,,
NA-189,Karachi South 1,,Asif Ali Zardari,PDA,54308,Muhammad Yousaf Khan Baloch,IJI,12615,,,
NA-190,Karachi South 2,,Muhammad Farooq Sattar,HPG,52887,Moulana Shah Ahmad Noorani Siddiqui,JUP-N,35804,,,
NA-191,Karachi South 3,,Syed Tariq Mehmood,HPG,40573,Abdul Sattar,IJI,20019,,,
NA-192,Karachi East 1,,Muhammad Rafique Essani,HPG,61938,Zuhari Akram Nadeem,IJI,10654,,,
NA-193,Karachi East 2,,Islam Nabi,HPG,72272,Syed Munawar Hassan,IJI,21329,,,
NA-194,Karachi East 3,,Syed Amin Ul Haq,HPG,71807,Muhammad Khalil Qureishi,PDA,15400,,,
NA-195,Karachi East 4,,Rehan Umar Farooqi,HPG,71265,Sher Muhammad,PDA,33495,,,
NA-196,Karachi East 5,,Waseem Ahmad,HPG,90337,Sardar Akhtar Ali Baloch,PDA,40983,,,
NA-197,Quetta,,Fateh Muhammad Muhammad Hasni,PDA,37874,Hafiz Hussain Ahmad,JUI-F,34207,,,
NA-198,Pishin,,Mehmood Khan Achakzai,PKMAP,34003,Molvi Abdul Ghani,JUI-F,28825,,,
NA-199,Loralai,,Sardar Muhammad Yaqoob Khan Nasir,IJI,15864,Mir Baz Muhammad Khan Khethran,PDA,13016,,,
NA-200,Zhob,,Maulvi Muhammad Khan Sherani,JUI-F,15965,Nawab Muhammad Ayaz Khan Jogezai,PKMAP,10038,,,
NA-201,Bolan,,Mir Yar Muhammad Rind,JWP,42586,Doctor Abdul Hayee Baloch,BNM,12738,,,
NA-202,Sibi-Cum-Kohlu-Cum-Dera Bugti-Cum-Ziarat,,Saleem Akbar Bugti,JWP,57094,Raziq Bugti,PNP,6764,,,
NA-203,Jaffarabad,,Mir Nabi Bux Khan Khosa,PDA,24131,Mir Zafar Ullah Khan Jamali,IJI,19645,,,
NA-204,Kalat-Cum-Kharan,,Moulvi Muhammad Siddique Shah,JUI-F,18647,Nawab Muhammad Aslam Khan Raisani,PNP,14828,,,
NA-205,Khuzdar,,Mir Bizan Bizanjo,PNP,21294,Mir Muhammad Naseer Mengal,IJI,15053,,,
NA-206,Lasbela-Cum-Gwadar,,Shahzada Jam Muhammad Yousaf,IJI,20487,Ghulam Akbar Lasi,PDA,19828,,,
NA-207,Turbat-Cum-Panjgur,,Mir Bizan Bizanjo,PNP,26166,Doctor Muhammad Yaseen,BNM,23782,,,
